2023-01-28 12:34:10, Download: 93,791424 Mbits/s, Upload: 93,477448 Mbits/s, Jitter: 0,132 ms, Lost: 0 %, Latencia: 0,917 ms, Provedor: Top 37 Estacoes E Redes De Telecomunicacoes Ltda, Servidor: TOP 37 INTERNET
2023-01-28 12:52:38, Download: 93,618104 Mbits/s, Upload: 93,481824 Mbits/s, Jitter: 0,058 ms, Lost: 0 %, Latencia: 1,055 ms, Provedor: Top 37 Estacoes E Redes De Telecomunicacoes Ltda, Servidor: TOP 37 INTERNET
2023-01-28 13:10:13, Download: 93,541008 Mbits/s, Upload: 93,496976 Mbits/s, Jitter: 0,325 ms, Lost: 0 %, Latencia: 1,068 ms, Provedor: Top 37 Estacoes E Redes De Telecomunicacoes Ltda, Servidor: TOP 37 INTERNET
2023-01-28 13:27:50, Download: 93,632992 Mbits/s, Upload: 93,437600 Mbits/s, Jitter: 0,097 ms, Lost: 0 %, Latencia: 1,226 ms, Provedor: Top 37 Estacoes E Redes De Telecomunicacoes Ltda, Servidor: TOP 37 INTERNET
2023-01-28 13:45:26, Download: 91,615232 Mbits/s, Upload: 93,235288 Mbits/s, Jitter: 0,093 ms, Lost: 0 %, Latencia: 1,199 ms, Provedor: Top 37 Estacoes E Redes De Telecomunicacoes Ltda, Servidor: TOP 37 INTERNET
2023-01-28 14:03:03, Download: 93,550664 Mbits/s, Upload: 93,461512 Mbits/s, Jitter: 0,115 ms, Lost: 0 %, Latencia: 1,078 ms, Provedor: Top 37 Estacoes E Redes De Telecomunicacoes Ltda, Servidor: TOP 37 INTERNET
2023-01-28 14:20:38, Download: 93,319648 Mbits/s, Upload: 93,479160 Mbits/s, Jitter: 0,12 ms, Lost: 0 %, Latencia: 1,151 ms, Provedor: Top 37 Estacoes E Redes De Telecomunicacoes Ltda, Servidor: TOP 37 INTERNET
2023-01-28 14:38:49, Download: 93,548312 Mbits/s, Upload: 93,481456 Mbits/s, Jitter: 0,093 ms, Lost: 0 %, Latencia: 1,085 ms, Provedor: Top 37 Estacoes E Redes De Telecomunicacoes Ltda, Servidor: TOP 37 INTERNET
2023-01-28 14:56:24, Download: 93,547304 Mbits/s, Upload: 93,487920 Mbits/s, Jitter: 0,138 ms, Lost: 0 %, Latencia: 1,16 ms, Provedor: Top 37 Estacoes E Redes De Telecomunicacoes Ltda, Servidor: TOP 37 INTERNET
2023-01-28 15:14:26, Download: 93,684072 Mbits/s, Upload: 93,448216 Mbits/s, Jitter: 0,07 ms, Lost: 0 %, Latencia: 1,031 ms, Provedor: Top 37 Estacoes E Redes De Telecomunicacoes Ltda, Servidor: TOP 37 INTERNET
2023-01-28 16:49:20, Download: 93,643712 Mbits/s, Upload: 93,399024 Mbits/s, Jitter: 0,038 ms, Lost: 0 %, Latencia: 1,009 ms, Provedor: Top 37 Estacoes E Redes De Telecomunicacoes Ltda, Servidor: TOP 37 INTERNET
