Timestamp (ISO 8601)	Download (Mbps)	Upload (Mbps)	Jitter (ms)	Packet Loss (%)	Delay (ms)	Timestamp (Unix time)	Dia da Semana (1-7)	Hora do Dia (24h)
2023-01-28 12:34:10	93.791	93.477	0.13200	0.00000	0.917	1674909250	6	12
2023-01-28 12:52:38	93.618	93.482	0.05800	0.00000	1.055	1674910358	6	12
2023-01-28 13:10:13	93.541	93.497	0.32500	0.00000	1.068	1674911413	6	13
2023-01-28 13:27:50	93.633	93.438	0.09700	0.00000	1.226	1674912470	6	13
2023-01-28 13:45:26	91.615	93.235	0.09300	0.00000	1.199	1674913526	6	13
2023-01-28 14:03:03	93.551	93.462	0.11500	0.00000	1.078	1674914583	6	14
2023-01-28 14:20:38	93.320	93.479	0.12000	0.00000	1.151	1674915638	6	14
2023-01-28 14:38:49	93.548	93.481	0.09300	0.00000	1.085	1674916729	6	14
2023-01-28 14:56:24	93.547	93.488	0.13800	0.00000	1.160	1674917784	6	14
2023-01-28 15:14:26	93.684	93.448	0.07000	0.00000	1.031	1674918866	6	15
2023-01-28 16:49:20	93.644	93.399	0.03800	0.00000	1.009	1674924560	6	16
2023-01-28 17:06:54	93.823	93.448	4.77000	0.00000	4.468	1674925614	6	17
2023-01-28 17:41:45	93.588	93.433	0.10400	0.00000	1.050	1674927705	6	17
2023-01-28 17:59:22	90.663	93.446	0.04700	0.00000	0.992	1674928762	6	17
2023-01-28 18:17:01	90.538	93.349	0.10600	0.00000	1.004	1674929821	6	18
2023-01-28 18:34:40	93.554	93.362	0.12300	0.00000	0.900	1674930880	6	18
2023-01-28 18:52:15	93.613	93.458	0.05600	0.00000	1.227	1674931935	6	18
2023-01-28 19:09:50	93.257	93.509	0.02600	0.00000	1.023	1674932990	6	19
2023-01-28 19:28:11	93.409	93.484	0.13500	0.00000	1.125	1674934091	6	19
2023-01-28 19:45:50	93.651	93.500	0.31600	0.00000	1.180	1674935150	6	19
2023-01-28 20:03:23	93.575	93.456	0.37300	0.00000	1.478	1674936203	6	20
2023-01-28 20:20:58	93.338	93.484	0.07100	0.00000	1.104	1674937258	6	20
2023-01-28 20:38:33	93.747	93.501	0.19300	0.00000	1.250	1674938313	6	20
2023-01-28 20:56:09	93.607	93.458	0.21500	0.00000	1.282	1674939369	6	20
2023-01-28 21:14:33	93.750	93.467	0.20000	0.00000	1.311	1674940473	6	21
2023-01-28 21:32:08	93.685	93.439	0.03800	0.00000	1.062	1674941528	6	21
2023-01-28 21:49:43	93.510	93.470	0.12700	0.00000	1.150	1674942583	6	21
2023-01-28 22:07:22	93.717	93.461	0.10000	0.00000	1.163	1674943642	6	22
2023-01-28 22:25:37	93.799	93.509	0.33300	0.00000	1.270	1674944737	6	22
2023-01-28 22:43:11	93.618	93.428	0.20000	0.00000	1.316	1674945791	6	22
2023-01-28 23:00:48	93.468	93.501	0.11200	0.00000	1.198	1674946848	6	23
2023-01-28 23:18:26	93.673	93.477	0.15400	0.00000	0.978	1674947906	6	23
2023-01-28 23:36:48	93.532	93.478	0.13800	0.00000	1.069	1674949008	6	23
2023-01-28 23:54:22	93.382	93.462	0.23300	0.00000	1.210	1674950062	6	23
2023-01-29 00:11:57	93.716	93.470	0.06200	0.00000	1.099	1674951117	7	0
2023-01-29 00:29:33	93.541	93.473	0.05400	0.00000	1.013	1674952173	7	0
2023-01-29 00:47:08	93.716	93.477	0.07600	0.00000	1.003	1674953228	7	0
2023-01-29 01:04:44	93.495	93.465	0.19400	0.00000	1.088	1674954284	7	1
2023-01-29 01:22:18	93.461	93.497	0.18600	0.00000	1.083	1674955338	7	1
2023-01-29 01:39:56	93.462	93.478	0.08100	0.00000	1.015	1674956396	7	1
2023-01-29 01:57:27	93.492	93.434	0.04900	0.00000	1.106	1674957447	7	1
2023-01-29 02:15:19	93.451	93.468	0.12600	0.00000	1.045	1674958519	7	2
2023-01-29 02:33:15	93.601	93.496	0.07200	0.00000	0.960	1674959595	7	2
2023-01-29 02:50:54	93.623	93.496	0.09000	0.00000	1.076	1674960654	7	2
2023-01-29 03:08:32	93.508	93.465	0.10500	0.00000	1.013	1674961712	7	3
